CMDLINE /home/mark/projects/stanford-cs336/assignment1-basics/.venv/bin/python3 save_vocab.py
MEM 610.718750 1784813051.4141
MEM 611.500000 1784813051.5143
MEM 611.871094 1784813051.6146
MEM 612.230469 1784813051.7149
MEM 612.558594 1784813051.8152
MEM 613.066406 1784813051.9155
MEM 613.589844 1784813052.0158
MEM 613.875000 1784813052.1161
MEM 614.375000 1784813052.2164
MEM 614.796875 1784813052.3167
MEM 615.066406 1784813052.4170
MEM 615.492188 1784813052.5173
MEM 615.964844 1784813052.6175
MEM 616.371094 1784813052.7178
MEM 616.667969 1784813052.8181
MEM 617.082031 1784813052.9183
MEM 617.515625 1784813053.0186
MEM 618.031250 1784813053.1190
MEM 618.367188 1784813053.2193
MEM 618.734375 1784813053.3197
MEM 619.191406 1784813053.4200
MEM 619.660156 1784813053.5204
MEM 620.167969 1784813053.6207
MEM 620.558594 1784813053.7210
MEM 620.867188 1784813053.8213
MEM 621.347656 1784813053.9220
MEM 621.628906 1784813054.0223
MEM 621.800781 1784813054.1232
MEM 621.921875 1784813054.2234
MEM 622.371094 1784813054.3237
MEM 624.250000 1784813054.4240
MEM 624.250000 1784813054.5243
MEM 625.503906 1784813054.6246
MEM 625.503906 1784813054.7249
MEM 625.691406 1784813054.8252
MEM 625.957031 1784813054.9255
MEM 626.289062 1784813055.0258
MEM 626.726562 1784813055.1260
MEM 627.175781 1784813055.2263
MEM 627.617188 1784813055.3266
MEM 628.011719 1784813055.4269
MEM 628.484375 1784813055.5271
MEM 628.859375 1784813055.6274
MEM 629.257812 1784813055.7277
MEM 629.613281 1784813055.8280
MEM 630.082031 1784813055.9282
MEM 630.410156 1784813056.0285
MEM 630.937500 1784813056.1289
MEM 631.210938 1784813056.2293
MEM 631.683594 1784813056.3297
MEM 632.257812 1784813056.4300
MEM 632.460938 1784813056.5303
MEM 632.828125 1784813056.6308
MEM 633.203125 1784813056.7311
MEM 633.300781 1784813056.8314
MEM 633.593750 1784813056.9317
MEM 633.980469 1784813057.0320
MEM 634.500000 1784813057.1322
MEM 634.871094 1784813057.2325
MEM 635.242188 1784813057.3328
MEM 635.714844 1784813057.4331
MEM 636.160156 1784813057.5334
MEM 636.570312 1784813057.6337
MEM 636.921875 1784813057.7340
MEM 637.175781 1784813057.8343
MEM 637.570312 1784813057.9346
MEM 638.023438 1784813058.0349
MEM 638.582031 1784813058.1352
MEM 639.042969 1784813058.2356
MEM 639.527344 1784813058.3359
MEM 639.988281 1784813058.4362
MEM 640.343750 1784813058.5365
MEM 640.777344 1784813058.6369
MEM 641.316406 1784813058.7372
